Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Comedy, Romance",es,2021-12-24,6.3,sent;An;Christmas;completely,1000 Miles From Christmas
"Action, Drama, Adventure",en,2018-02-16,5.8,"love,;Philistine;defends;Hebrew",Samson
"Action, Drama, Mystery, Thriller, Crime",en,2007-03-22,7.1,marksman;why??;Ultimately;set,Shooter
"Animation, Science Fiction",ja,2013-09-07,6.6,crew;face;conquer;Captain,Space Pirate Captain Harlock
"Thriller, Crime",en,2004-12-09,6.6,Europol;–;heels.;huge,Ocean's Twelve
"Animation, Drama",ja,2014-07-19,8.0,countryside;Upon;sent;due,When Marnie Was There
"Action, Adventure, Animation, Science Fiction, Drama",en,2011-04-09,6.7,"enemy,;comrades.;relating;home",Green Lantern: Emerald Knights
"Science Fiction, Horror",en,2018-02-22,6.4,laws;don't;nature;biologist,Annihilation
"Adventure, Animation, Family, Romance",en,1995-06-14,7.0,"American;invade;chief,;Virginia.",Pocahontas
"Comedy, Horror",en,2019-06-28,6.4,small;blood.;discover;unleash,Porno
"Science Fiction, Thriller, Drama, Mystery",en,2017-08-18,7.2,avoid;due;identical;infighting,What Happened to Monday
"Animation, Adventure, Family, Comedy",de,2019-12-11,6.7,hedgehog;brave;forest’s;timid,Latte and the Magic Waterstone
"Comedy, Horror",en,2010-08-20,5.4,Break;cut;sleepy;Spring,Piranha 3D
"Horror, Comedy, Fantasy, Thriller",en,2012-04-12,6.6,spend;discover;weekend;Five,The Cabin in the Woods
"Animation, Action, Fantasy, Science Fiction",ja,2021-10-30,8.1,rapier;VRMMO;Akihiko's;first-floor,Sword Art Online the Movie -Progressive- Aria of a Starless Night
Horror,en,1980-05-09,6.4,trying;Camp;site;drowning.,Friday the 13th
"Drama, Thriller, Mystery",fr,2016-12-07,5.5,"high;Amoureux;call;Rupert,",Sex Doll
"Animation, Action, Family, Science Fiction",en,2009-10-15,6.3,"expectations,;scientist;son;journey",Astro Boy
"Comedy, Romance",es,2021-09-29,6.6,best;just;heart;Fashion,Sounds Like Love
"Action, Thriller, Science Fiction",en,2003-07-02,6.1,"until;Connor's;clear;Terminator,",Terminator 3: Rise of the Machines
"Animation, Adventure, Fantasy",ja,2018-10-06,7.2,certain;finally;goes;figure,Re:ZERO -Starting Life in Another World- Memory Snow
"Action, Comedy",en,2012-12-06,6.1,college;one-time;Cyrus);several,So Undercover
